place,movie_title,rating,year,star_cast
144,Jurassic Park,8.149900560187804,1993,"Steven Spielberg (dir.), Sam Neill, Laura Dern"
145,Yôjinbô,8.147143361431757,1961,"Akira Kurosawa (dir.), Toshirô Mifune, Eijirô Tôno"
146,The Treasure of the Sierra Madre,8.146537408494437,1948,"John Huston (dir.), Humphrey Bogart, Walter Huston"
147,Monty Python and the Holy Grail,8.144875021192583,1975,"Terry Gilliam (dir.), Graham Chapman, John Cleese"
148,No Country for Old Men,8.140559196361302,2007,"Ethan Coen (dir.), Tommy Lee Jones, Javier Bardem"
149,The Great Escape,8.139277837464315,1963,"John Sturges (dir.), Steve McQueen, James Garner"
150,Kill Bill: Vol 1,8.139193191657299,2003,"Quentin Tarantino (dir.), Uma Thurman, David Carradine"
151,Rashômon,8.137169808692589,1950,"Akira Kurosawa (dir.), Toshirô Mifune, Machiko Kyô"
152,The Thing,8.134555043961361,1982,"John Carpenter (dir.), Kurt Russell, Wilford Brimley"
153,Spider-Man: No Way Home,8.132499983584047,2021,"Jon Watts (dir.), Tom Holland, Zendaya"
154,Finding Nemo,8.13125735820107,2003,"Andrew Stanton (dir.), Albert Brooks, Ellen DeGeneres"
155,The Elephant Man,8.126592514469001,1980,"David Lynch (dir.), Anthony Hopkins, John Hurt"
156,Chinatown,8.125045277045276,1974,"Roman Polanski (dir.), Jack Nicholson, Faye Dunaway"
157,Raging Bull,8.12242955624921,1980,"Martin Scorsese (dir.), Robert De Niro, Cathy Moriarty"
158,V for Vendetta,8.122107949061144,2005,"James McTeigue (dir.), Hugo Weaving, Natalie Portman"
159,Gone with the Wind,8.121256137693013,1939,"Victor Fleming (dir.), Clark Gable, Vivien Leigh"
160,"Lock, Stock and Two Smoking Barrels",8.11979541172252,1998,"Guy Ritchie (dir.), Jason Flemyng, Dexter Fletcher"
161,Dial M for Murder,8.11950626173623,1954,"Alfred Hitchcock (dir.), Ray Milland, Grace Kelly"
162,Inside Out,8.119315158510126,2015,"Pete Docter (dir.), Amy Poehler, Bill Hader"
163,John Wick: Chapter 4,8.119062579262454,2023,"Chad Stahelski (dir.), Keanu Reeves, Laurence Fishburne"
164,El secreto de sus ojos,8.117859001718557,2009,"Juan José Campanella (dir.), Ricardo Darín, Soledad Villamil"
165,Hauru no ugoku shiro,8.117642329660228,2004,"Hayao Miyazaki (dir.), Chieko Baisho, Takuya Kimura"
166,"Three Billboards Outside Ebbing, Missouri",8.111221690194427,2017,"Martin McDonagh (dir.), Frances McDormand, Woody Harrelson"
167,Trainspotting,8.110153720538486,1996,"Danny Boyle (dir.), Ewan McGregor, Ewen Bremner"
168,The Bridge on the River Kwai,8.109910418863032,1957,"David Lean (dir.), William Holden, Alec Guinness"
169,Prisoners,8.10753388825192,2013,"Denis Villeneuve (dir.), Hugh Jackman, Jake Gyllenhaal"
170,Warrior,8.102366048162198,2011,"Gavin O'Connor (dir.), Tom Hardy, Nick Nolte"
171,Fargo,8.102282121396296,1996,"Joel Coen (dir.), William H. Macy, Frances McDormand"
172,Gran Torino,8.09995604287289,2008,"Clint Eastwood (dir.), Clint Eastwood, Bee Vang"
173,Catch Me If You Can,8.091946324066074,2002,"Steven Spielberg (dir.), Leonardo DiCaprio, Tom Hanks"
174,Tonari no Totoro,8.091834967014181,1988,"Hayao Miyazaki (dir.), Hitoshi Takagi, Noriko Hidaka"
175,Million Dollar Baby,8.088455301260266,2004,"Clint Eastwood (dir.), Hilary Swank, Clint Eastwood"
176,Bacheha-Ye aseman,8.086291742847461,1997,"Majid Majidi (dir.), Mohammad Amir Naji, Amir Farrokh Hashemian"
177,Blade Runner,8.08452043892509,1982,"Ridley Scott (dir.), Harrison Ford, Rutger Hauer"
178,The Gold Rush,8.08415220181767,1925,"Charles Chaplin (dir.), Charles Chaplin, Mack Swain"
179,Klaus,8.082490641560463,2019,"Sergio Pablos (dir.), Jason Schwartzman, J.K. Simmons"
180,Harry Potter and the Deathly Hallows: Part 2,8.081155803820808,2011,"David Yates (dir.), Daniel Radcliffe, Emma Watson"
181,Before Sunrise,8.08096269227226,1995,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy"
182,12 Years a Slave,8.08044312175656,2013,"Steve McQueen (dir.), Chiwetel Ejiofor, Michael Kenneth Williams"
183,Ben-Hur,8.07853472337097,1959,"William Wyler (dir.), Charlton Heston, Jack Hawkins"
184,On the Waterfront,8.078233628487226,1954,"Elia Kazan (dir.), Marlon Brando, Karl Malden"
185,The Grand Budapest Hotel,8.077756984161487,2014,"Wes Anderson (dir.), Ralph Fiennes, F. Murray Abraham"
186,Gone Girl,8.07705524626239,2014,"David Fincher (dir.), Ben Affleck, Rosamund Pike"
187,Smultronstället,8.075306817446352,1957,"Ingmar Bergman (dir.), Victor Sjöström, Bibi Andersson"
188,The General,8.07470634253577,1926,"Clyde Bruckman (dir.), Buster Keaton, Marion Mack"
189,Barry Lyndon,8.073901202076508,1975,"Stanley Kubrick (dir.), Ryan O'Neal, Marisa Berenson"
190,In the Name of the Father,8.073489198267923,1993,"Jim Sheridan (dir.), Daniel Day-Lewis, Pete Postlethwaite"
191,The Deer Hunter,8.072992996917494,1978,"Michael Cimino (dir.), Robert De Niro, Christopher Walken"
192,The Third Man,8.0720969526807,1949,"Carol Reed (dir.), Orson Welles, Joseph Cotten"
193,Hacksaw Ridge,8.071447043944968,2016,"Mel Gibson (dir.), Andrew Garfield, Sam Worthington"
194,Le salaire de la peur,8.069467532175398,1953,"Henri-Georges Clouzot (dir.), Yves Montand, Charles Vanel"
195,Salinui chueok,8.069223418169756,2003,"Bong Joon Ho (dir.), Song Kang-ho, Kim Sang-kyung"
196,Sherlock Jr,8.06754618417273,1924,"Buster Keaton (dir.), Buster Keaton, Kathryn McGuire"
197,Relatos salvajes,8.067517570263279,2014,"Damián Szifron (dir.), Darío Grandinetti, María Marull"
198,Mr Smith Goes to Washington,8.06606315816908,1939,"Frank Capra (dir.), James Stewart, Jean Arthur"
199,Mad Max: Fury Road,8.063662891028788,2015,"George Miller (dir.), Tom Hardy, Charlize Theron"
200,Mary and Max,8.062502629792244,2009,"Adam Elliot (dir.), Toni Collette, Philip Seymour Hoffman"
201,Det sjunde inseglet,8.061637343704106,1957,"Ingmar Bergman (dir.), Max von Sydow, Gunnar Björnstrand"
202,How to Train Your Dragon,8.061357380558524,2010,"Dean DeBlois (dir.), Jay Baruchel, Gerard Butler"
203,"Monsters, Inc",8.060852827419652,2001,"Pete Docter (dir.), Billy Crystal, John Goodman"
204,Dead Poets Society,8.060400885015957,1989,"Peter Weir (dir.), Robin Williams, Robert Sean Leonard"
205,Jaws,8.059958770221073,1975,"Steven Spielberg (dir.), Roy Scheider, Robert Shaw"
206,Room,8.059356619179708,2015,"Lenny Abrahamson (dir.), Brie Larson, Jacob Tremblay"
207,The Big Lebowski,8.057810036419372,1998,"Joel Coen (dir.), Jeff Bridges, John Goodman"
208,Tôkyô monogatari,8.054980807993799,1953,"Yasujirô Ozu (dir.), Chishû Ryû, Chieko Higashiyama"
209,La passion de Jeanne d'Arc,8.051739950744361,1928,"Carl Theodor Dreyer (dir.), Maria Falconetti, Eugene Silvain"
210,Ford v Ferrari,8.049989921310043,2019,"James Mangold (dir.), Matt Damon, Christian Bale"
211,Hotel Rwanda,8.04831644387434,2004,"Terry George (dir.), Don Cheadle, Sophie Okonedo"
212,Rocky,8.04670658441996,1976,"John G. Avildsen (dir.), Sylvester Stallone, Talia Shire"
213,Platoon,8.043995860985158,1986,"Oliver Stone (dir.), Charlie Sheen, Tom Berenger"
214,Ratatouille,8.043488941769931,2007,"Brad Bird (dir.), Brad Garrett, Lou Romano"
215,Spotlight,8.041060663402611,2015,"Tom McCarthy (dir.), Mark Ruffalo, Michael Keaton"
216,Logan,8.040547824128108,2017,"James Mangold (dir.), Hugh Jackman, Patrick Stewart"
217,The Terminator,8.040155964739403,1984,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton"
218,Stand by Me,8.03660225302629,1986,"Rob Reiner (dir.), Wil Wheaton, River Phoenix"
219,Rush,8.035083204708222,2013,"Ron Howard (dir.), Daniel Brühl, Chris Hemsworth"
220,Network,8.034318917150616,1976,"Sidney Lumet (dir.), Faye Dunaway, William Holden"
221,Before Sunset,8.032810408530898,2004,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy"
222,Into the Wild,8.030984841027514,2007,"Sean Penn (dir.), Emile Hirsch, Vince Vaughn"
223,The Wizard of Oz,8.030265809493281,1939,"Victor Fleming (dir.), Judy Garland, Frank Morgan"
224,The Best Years of Our Lives,8.028267453230452,1946,"William Wyler (dir.), Myrna Loy, Dana Andrews"
225,Groundhog Day,8.026780069801847,1993,"Harold Ramis (dir.), Bill Murray, Andie MacDowell"
226,The Exorcist,8.02658688443109,1973,"William Friedkin (dir.), Ellen Burstyn, Max von Sydow"
227,The Incredibles,8.025015260742748,2004,"Brad Bird (dir.), Craig T. Nelson, Samuel L. Jackson"
228,La haine,8.024086638353138,1995,"Mathieu Kassovitz (dir.), Vincent Cassel, Hubert Koundé"
229,To Be or Not to Be,8.023752466933106,1942,"Ernst Lubitsch (dir.), Carole Lombard, Jack Benny"
230,Pirates of the Caribbean: The Curse of the Black Pearl,8.0235075264087,2003,"Gore Verbinski (dir.), Johnny Depp, Geoffrey Rush"
231,Pather Panchali,8.023434083716806,1955,"Satyajit Ray (dir.), Kanu Bannerjee, Karuna Bannerjee"
232,Hachi: A Dog's Tale,8.022238425638674,2009,"Lasse Hallström (dir.), Richard Gere, Joan Allen"
233,The Grapes of Wrath,8.021999119651557,1940,"John Ford (dir.), Henry Fonda, Jane Darwell"
234,La battaglia di Algeri,8.02194676896268,1966,"Gillo Pontecorvo (dir.), Brahim Hadjadj, Jean Martin"
235,Jai Bhim,8.020817752300344,2021,"T.J. Gnanavel (dir.), Suriya, Lijo Mol Jose"
236,Babam ve Oglum,8.020060706754323,2005,"Çagan Irmak (dir.), Çetin Tekindor, Fikret Kuskan"
237,Amores perros,8.01950774827157,2000,"Alejandro G. Iñárritu (dir.), Emilio Echevarría, Gael García Bernal"
238,Rebecca,8.018610497621843,1940,"Alfred Hitchcock (dir.), Laurence Olivier, Joan Fontaine"
239,Cool Hand Luke,8.017913157690428,1967,"Stuart Rosenberg (dir.), Paul Newman, George Kennedy"
240,Ah-ga-ssi,8.017504235791472,2016,"Park Chan-wook (dir.), Kim Min-hee, Ha Jung-woo"
241,The Sound of Music,8.013317265484218,1965,"Robert Wise (dir.), Julie Andrews, Christopher Plummer"
242,Les quatre cents coups,8.01311011899801,1959,"François Truffaut (dir.), Jean-Pierre Léaud, Albert Rémy"
243,It Happened One Night,8.01250841944174,1934,"Frank Capra (dir.), Clark Gable, Claudette Colbert"
244,Persona,8.010848816832565,1966,"Ingmar Bergman (dir.), Bibi Andersson, Liv Ullmann"
245,Life of Brian,8.008930224710596,1979,"Terry Jones (dir.), Graham Chapman, John Cleese"
246,The Iron Giant,8.006131839039679,1999,"Brad Bird (dir.), Eli Marienthal, Harry Connick Jr."
247,The Help,8.005625099741938,2011,"Tate Taylor (dir.), Viola Davis, Emma Stone"
248,Aladdin,8.003812082675905,1992,"Ron Clements (dir.), Scott Weinger, Robin Williams"
249,Dersu Uzala,8.003486655089526,1975,"Akira Kurosawa (dir.), Maksim Munzuk, Yuriy Solomin"
250,Dances with Wolves,8.001461582724472,1990,"Kevin Costner (dir.), Kevin Costner, Mary McDonnell"
