Book Title,Author Name,Publication_Date,Popularity_Score,Issued
The Ecology of Wisdom: Writings by Arne Naess,Arne Naess,2010,9,1
Deep Ecology for the Twenty-First Century,George Sessions,1995,7,1
The Earth Book for Kids: Activities to Help Heal the Environment,Linda Schwartz,1999,7,1
A Sand County Almanac: With Other Essays on Conservation from Round River,Aldo Leopold,1949,8,1
The End of Ice: Bearing Witness and Finding Meaning in the Path of Climate Disruption,Dahr Jamail,2019,9,1
Walden,Henry David Thoreau,1854,8,0
The Hype About Hydrogen: Fact and Fiction in the Race to Save the Climate,Joseph J. Romm,2005,8,0
Clean Code: A Handbook of Agile Software Craftsmanship, Robert C. Martin,2008,9,0
The Design of Everyday Things, Don Norman,1988,7,0
The Algorithm Design Manual, Steven S. Skiena,1998,8,0
The Lean Startup: How Today's Entrepreneurs Use Continuous Innovation to Create Radically Successful Businesses, Eric Ries,2011,9,0
The Art of Computer Programming, Donald E. Knuth,1968,6,0
Code Complete: A Practical Handbook of Software Construction, Steve McConnell,1993,9,0
Introduction to Algorithms, Thomas H. Cormen,1990,8,0
The Cathedral and the Bazaar: Musings on Linux and Open Source by an Accidental Revolutionary, Eric S. Raymond,1999,7,0
Refactoring: Improving the Design of Existing Code, Martin Fowler,1999,9,0
The Myths of Innovation, Scott Berkun,2007,7,0
The Art of Deception: Controlling the Human Element of Security, Kevin D. Mitnick and William L. Simon,2002,8,0
The Practice of Programming, Brian W. Kernighan and Rob Pike,1999,8,0
The C Programming Language, Brian W. Kernighan and Dennis M. Ritchie,1978,9,0
Don't Make Me Think: A Common Sense Approach to Web Usability, Steve Krug,2000,9,0
User Story Mapping: Discover the Whole Story  Build the Right Product, Jeff Patton and Peter Economy,2017,7,0
The Goal: A Process of Ongoing Improvement, Eliyahu M. Goldratt and Jeff Cox,1984,8,0
The Pragmatic Programmer: From Journeyman to Master, Andrew Hunt and David Thomas,1999,9,0
Designing Data-Intensive Applications: The Big Ideas Behind Reliable Scalable , Martin Kleppmann,2017,8,0
